No,"Phase-to-phase Voltage
(Vrms) kV",Phase angle,Frequency,"Fault ground
Resistance Ω",Fault Location,MaxCoefA,MaxCoefB,MaxCoefC,MaxCoefGnd,A,B,C,G
1,250,0,60,0.1,Before transmission line,16097055.7100,40725475.3600,16097055.7100,79893.3011,1,1,1,1
2,250,0,60,0.1,Before transmission line,16097055.7100,40725475.3600,16097055.7100,0.0081,1,1,1,0
3,250,0,60,0.1,Before transmission line,10803035.4200,20464068.1400,103.9772,86421.4786,1,1,0,1
4,250,0,60,0.1,Before transmission line,20261370.3500,103.9772,8624427.5580,202614.0722,1,0,1,1
5,250,0,60,0.1,Before transmission line,103.9784,40725475.3600,7176136.7220,99363.7260,0,1,1,1
6,250,0,60,0.1,Before transmission line,10794282.0300,20362761.1100,103.9772,0.0087,1,1,0,0
7,250,0,60,0.1,Before transmission line,20362677.3800,103.9772,8615308.2840,0.0204,1,0,1,0
8,250,0,60,0.1,Before transmission line,103.9784,40725475.3600,7257318.2310,0.0100,0,1,1,0
9,250,0,60,0.1,Before transmission line,159569.0423,103.9772,103.9772,170252.9871,1,0,0,1
10,250,0,60,0.1,Before transmission line,103.9784,403268.9145,128.9201,129747.0043,0,1,0,1
11,250,0,60,0.1,Before transmission line,103.9784,103.9772,160779.4520,403222.0644,0,0,1,1
12,250,0,60,0.1,Before transmission line,103.9784,103.9772,103.9772,0.0000,0,0,0,0
13,250,0,60,0.2,Before transmission line,16097055.7100,40725475.3600,16097055.7100,40191.6674,1,1,1,1
14,250,0,60,0.2,Before transmission line,16097055.7100,40725475.3600,16097055.7100,0.0081,1,1,1,0
15,250,0,60,0.2,Before transmission line,10541882.0300,20413540.9400,103.9772,43240.8096,1,1,0,1
16,250,0,60,0.2,Before transmission line,20311897.5500,103.9772,8648865.2130,101559.6721,1,0,1,1
17,250,0,60,0.2,Before transmission line,103.9784,40725475.3600,7428001.7320,49903.1810,0,1,1,1
18,250,0,60,0.2,Before transmission line,10794282.0300,20362761.1100,103.9772,0.0087,1,1,0,0
19,250,0,60,0.2,Before transmission line,20362677.3800,103.9772,8615308.2840,0.0204,1,0,1,0
20,250,0,60,0.2,Before transmission line,103.9784,40725475.3600,7257318.2310,0.0100,0,1,1,0
