FaultType,GroundResistance,PhaseA_Max,PhaseB_Max,PhaseC_Max,Ground_Max
Three_Phase_to_Ground_Fault_ABC_Ground,0.1,16097055.71,40725475.36,16097055.71,79893.30112
Three_Phase_Short_CKT_Fault_ABC,0.1,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,0.1,10803035.42,20464068.14,103.9771621,86421.4786
Double_Line_to_Ground_Fault_AC_Ground,0.1,20261370.35,103.9771527,8624427.558,202614.0722
Double_Line_to_Ground_Fault_BC_Ground,0.1,103.9783919,40725475.36,7176136.722,99363.72601
Line_to_Line_Fault_AB,0.1,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,0.1,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,0.1,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,0.1,159569.0423,103.9771527,103.9771621,170252.9871
Single_Line_to_Ground_Fault_B_Ground,0.1,103.9783919,403268.9145,128.9200728,129747.0043
Single_Line_to_Ground_Fault_C_Ground,0.1,103.9783919,103.9771527,160779.452,403222.0644
No_Fault,0.1,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,0.2,16097055.71,40725475.36,16097055.71,40191.66736
Three_Phase_Short_CKT_Fault_ABC,0.2,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,0.2,10541882.03,20413540.94,103.9771621,43240.80963
Double_Line_to_Ground_Fault_AC_Ground,0.2,20311897.55,103.9771527,8648865.213,101559.6721
Double_Line_to_Ground_Fault_BC_Ground,0.2,103.9783919,40725475.36,7428001.732,49903.18095
Line_to_Line_Fault_AB,0.2,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,0.2,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,0.2,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,0.2,80558.76553,103.9771527,103.9771621,85403.17249
Single_Line_to_Ground_Fault_B_Ground,0.2,103.9783919,202660.9222,128.6014041,65407.26066
Single_Line_to_Ground_Fault_C_Ground,0.2,103.9783919,103.9771527,81018.74259,202614.0722
No_Fault,0.2,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,0.3,16097055.71,40725475.36,16097055.71,26849.24896
Three_Phase_Short_CKT_Fault_ABC,0.3,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,0.3,10598171.35,20396642.49,103.9771621,28839.39019
Double_Line_to_Ground_Fault_AC_Ground,0.3,20328796,103.9771527,8656263.674,67762.77622
Double_Line_to_Ground_Fault_BC_Ground,0.3,103.9783919,40725475.36,8046057.4,33314.92553
Line_to_Line_Fault_AB,0.3,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,0.3,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,0.3,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,0.3,53888.42245,103.9771527,103.9771621,56997.19823
Single_Line_to_Ground_Fault_B_Ground,0.3,103.9783919,135347.277,128.4948285,43724.40836
Single_Line_to_Ground_Fault_C_Ground,0.3,103.9783919,103.9771527,54161.41329,135300.4269
No_Fault,0.3,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,0.4,16097055.71,40725475.36,16097055.71,20157.53864
Three_Phase_Short_CKT_Fault_ABC,0.4,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,0.4,9348589.75,20388182.72,103.9771621,21207.2512
Double_Line_to_Ground_Fault_AC_Ground,0.4,20337255.77,105.2671367,7557852.683,50843.23159
Double_Line_to_Ground_Fault_BC_Ground,0.4,134.9659995,40725475.36,7155479.278,24302.17386
Line_to_Line_Fault_AB,0.4,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,0.4,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,0.4,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,0.4,40490.13473,103.9771527,103.9771621,42771.09245
Single_Line_to_Ground_Fault_B_Ground,0.4,103.9783919,101606.5222,128.4414743,32838.27961
Single_Line_to_Ground_Fault_C_Ground,0.4,103.9783919,103.9771527,40681.59406,101559.6721
No_Fault,0.4,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,0.5,16097055.71,40725475.36,16097055.71,16135.93278
Three_Phase_Short_CKT_Fault_ABC,0.5,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,0.5,10795306.02,20383103.48,103.9771621,17456.53305
Double_Line_to_Ground_Fault_AC_Ground,0.5,20342335.02,103.9771527,8616010.262,40684.74376
Double_Line_to_Ground_Fault_BC_Ground,0.5,103.9783919,40725475.36,7278860.947,18873.4976
Line_to_Line_Fault_AB,0.5,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,0.5,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,0.5,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,0.5,32430.89144,103.9771527,103.9771621,34228.01661
Single_Line_to_Ground_Fault_B_Ground,0.5,103.9783919,81335.13053,128.4094406,26292.24566
Single_Line_to_Ground_Fault_C_Ground,0.5,126.5772677,103.977157,38068.07235,81288.28045
No_Fault,0.5,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,0.6,16097055.71,40725475.36,16097055.71,13452.11619
Three_Phase_Short_CKT_Fault_ABC,0.6,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,0.6,10801323.85,20379715.9,103.9771621,14524.99416
Double_Line_to_Ground_Fault_AC_Ground,0.6,20345722.59,103.9771527,8626015.436,33909.59909
Double_Line_to_Ground_Fault_BC_Ground,0.6,103.9783919,40725475.36,7309908.092,16605.26779
Line_to_Line_Fault_AB,0.6,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,0.6,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,0.6,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,0.6,27049.59942,103.9771527,103.9771621,28529.54088
Single_Line_to_Ground_Fault_B_Ground,0.6,103.9783919,67809.62629,128.3880759,21922.22902
Single_Line_to_Ground_Fault_C_Ground,0.6,103.9783919,103.9771527,27167.53733,67762.77622
No_Fault,0.6,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,0.7,16097055.71,40725475.36,16097055.71,11533.75793
Three_Phase_Short_CKT_Fault_ABC,0.7,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,0.7,10805661.29,20377295.52,103.9771621,12437.24575
Double_Line_to_Ground_Fault_AC_Ground,0.7,20348142.97,105.8278655,8632910.324,29068.82834
Double_Line_to_Ground_Fault_BC_Ground,0.7,103.9783919,40725475.36,7363615.21,14245.91416
Line_to_Line_Fault_AB,0.7,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,0.7,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,0.7,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,0.7,23201.66879,103.9771527,103.9771621,24457.68566
Single_Line_to_Ground_Fault_B_Ground,0.7,103.9783919,58143.0391,128.372811,18797.84891
Single_Line_to_Ground_Fault_C_Ground,0.7,103.9783919,103.9771527,23300.07559,58096.18902
No_Fault,0.7,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,0.8,16097055.71,40725475.36,16097055.71,10094.25238
Three_Phase_Short_CKT_Fault_ABC,0.8,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,0.8,7973090.901,20375479.85,103.9771621,11054.49808
Double_Line_to_Ground_Fault_AC_Ground,0.8,20349958.64,103.9771527,8637942.345,25437.49438
Double_Line_to_Ground_Fault_BC_Ground,0.8,103.9783919,40725475.36,6739522.771,9260.75523
Line_to_Line_Fault_AB,0.8,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,0.8,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,0.8,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,0.8,20313.44888,103.9771527,103.9771621,21402.96509
Single_Line_to_Ground_Fault_B_Ground,0.8,103.9783919,50890.08167,128.36136,16452.95476
Single_Line_to_Ground_Fault_C_Ground,0.8,103.9783919,103.9771527,20397.63828,50843.23159
No_Fault,0.8,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,0.9,16097055.71,40725475.36,16097055.71,8974.200063
Three_Phase_Short_CKT_Fault_ABC,0.9,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,0.9,10518598.38,20374067.44,103.9771621,9660.990955
Double_Line_to_Ground_Fault_AC_Ground,0.9,20351371.05,103.9771527,8641775.047,22612.67546
Double_Line_to_Ground_Fault_BC_Ground,0.9,103.9783919,40725475.36,7051470.773,8458.363657
Line_to_Line_Fault_AB,0.9,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,0.9,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,0.9,103.9783919,40725475.36,7257318.231,0.00995542
Single_Line_to_Ground_Fault_A_Ground,0.9,21200.97063,126.6780396,103.9771691,21105.68721
Single_Line_to_Ground_Fault_B_Ground,0.9,103.9783919,45247.10369,128.3524523,14628.19403
Single_Line_to_Ground_Fault_C_Ground,0.9,103.9783919,103.9771527,18139.09537,45200.25361
No_Fault,0.9,103.9783919,103.9771529,103.9771621,7.18E-10
Three_Phase_to_Ground_Fault_ABC_Ground,1,16097055.71,40725475.36,16097055.71,8077.882848
Three_Phase_Short_CKT_Fault_ABC,1,16097055.71,40725475.36,16097055.71,0.008087818
Double_Line_to_Ground_Fault_AB_Ground,1,10537815.88,20372937.37,103.9771621,8691.155989
Double_Line_to_Ground_Fault_AC_Ground,1,20352501.12,103.9771527,8644790.87,20352.53798
Double_Line_to_Ground_Fault_BC_Ground,1,103.9783919,40725475.36,7456063.22,9987.643489
Line_to_Line_Fault_AB,1,10794282.03,20362761.11,103.9771621,0.008747515
Line_to_Line_Fault_AC,1,20362677.38,103.9771527,8615308.284,0.020362716
Line_to_Line_Fault_BC,1,103.9783919,40725475.36,7257318.231,0.00995542
